Version,GDH,GITC,Na Cit (pH 5.00),Na Cit (pH 5.50),Na Cit (pH 6.11),Na Cit (pH 6.50),Na Cit (pH 8.5),Na Cit (pH 11),Na Cit (pH 11.5),EDTA,IGEPAL,SDS 20%,IPA,Water,NaI 6M,NaI 8M,NaI 8M + thiosulfate,NaI 9M,NaI 10M,LiCl,CaCl2,PEG 8000,PEG 6000,PEG 3350,PEG 1000,PEG 400,TCEP,Phosphate Citrate 0.2M pH 7.8,Phosphate Citrate 0.2M pH 10,Bead Number,Bead Quantity,CTAB 10%,Citric Acid,Phosphate Citrate 1M pH 5,Phosphate Citrate 1M pH 7.8,Phosphate Citrate 1M pH 9,Phosphate Citrate 1M pH 10,NaCl 5M,sodium sulfite (g),sodium acetate 3M,Ammonium Sulfate 8M,Ammonium Sulfate 1M,Ammonium Chloride 4M,Magnesium Chloride 2mM,CDTA 0.5M pH 7
V78,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,1.3,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V78_1,0,1.875,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V78_2,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V78_5,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,1.3,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V79,0,1.25,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.5,0.675,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V79_1,0,1.875,0,0,0,0,0,0.125,0,0.1,0.063,0.188,2.5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V80,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V80_1,0,1.875,0,0,0,0,0,0,0.125,0.1,0.063,0.188,2.5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V81,0,1.875,0.125,0,0,0,0,0,0,0.1,0.063,0.188,2.5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V82,0,1.875,0,0.125,0,0,0,0,0,0.1,0.063,0.188,2.5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V83,1.875,0,0,0,0,0,0,0.125,0,0.1,0.063,0.188,2.5,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V84,1.875,0,0,0,0,0,0,0,0.125,0.1,0.063,0.188,2.5,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V85,1.875,0,0.125,0,0,0,0,0,0,0.1,0.063,0.188,2.5,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
